,brand,name,price,spec_rating,processor,CPU,Ram,Ram_type,ROM,ROM_type,GPU,display_size,resolution_width,resolution_height,OS,warranty
218,Samsung,Galaxy Book 3 NP750XFG-KB1IN Laptop,69990,,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",8GB,LPDDR4x,512GB,SSD,Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,1
220,Samsung,Galaxy Book 3 360 NP750QFG-KA3IN Laptop,138990,74.0,13th Gen Intel Core i7 1360P,"12 Cores (4P + 8E), 16 Threads",16GB,LPDDR4x,1TB,SSD,Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,1
221,HP,Victus 15-fb0777AX Gaming Laptop,51990,67.0,5th Gen AMD Ryzen 5  5600H ,"Hexa Core, 12 Threads",8GB,DDR4,512GB,SSD,4GB AMD Radeon RX 6500M Graphics,15.6,1920,1080,Windows 11 OS,1
222,Samsung,Galaxy Book 3 Laptop,69990,,13th Gen Intel Core i5 1340P,"12 Cores (4P + 8E), 16 Threads",8GB,LPDDR5,512GB,SSD,Intel Iris Xe Graphics,14,1920,1080,Windows 11 OS,1
223,Asus,Vivobook Pro 15 OLED M3500QC-L1502WS Gaming Laptop,72990,66.0,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",16GB,DDR4,512GB,SSD,4GB NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,1
224,Asus,Vivobook 16X M1603QA-MB512WS Laptop,50400,67.0,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",16GB,DDR4,512GB,SSD,AMD Radeon Vega 7,16,1200,1920,Windows 11 OS,1
225,Dell,Latitude 3430 Laptop,108000,60.0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8GB,DDR4,512GB,SSD,Intel Iris Xe Graphics,14,1366,768,Windows 11 OS,1
226,Dell,Inspiron 3520 Laptop,50990,,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8GB,DDR4,1TB,Hard-Disk,Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,1
228,Lenovo,IdeaPad Gaming 3 15IHU6 82K101EDIN Laptop,47990,67.0,11th Gen Intel Core i5 11300H,"Quad Core, 8 Threads",8GB,DDR4,512GB,SSD,4GB NVIDIA GeForce RTX 3050 Graphics,15.6,1920,1080,Windows 11 OS,1
229,HP,Omen 16-n0079AX Gaming Laptop,91990,80.0,6th Gen AMD Ryzen 7  6800H,"Octa Core, 16 Threads",16GB,DDR5,512GB,SSD,8GB AMD Radeon RX 6650M,16.1,1920,1080,Windows 11 OS,1
232,Acer,One 14 Z2-493 Laptop,25449,,3rd Gen AMD Ryzen 3  3250U,"Dual Core, 4 Threads",8GB,DDR4,256GB,SSD,AMD Radeon Graphics,14,1366,768,Windows 11 OS,1
233,Acer,Aspire 3 A315-59 Laptop,33207,,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8GB,DDR4,512GB,SSD,Intel Graphics ,15.6,1920,1080,Windows 11 OS,1
234,HP,Pavilion 15s-FR5007TU Laptop,52990,,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8GB,DDR4,512GB,SSD,Intel Iris Xe,15.6,1920,1080,Windows 11 OS,1
235,Dell,Vostro 3425 Laptop,42434,66.0,5th Gen AMD Ryzen 5 5625U,"Hexa Core, 12 Threads",8GB,DDR4,512GB,SSD,AMD Radeon Graphics,14,1920,1080,Windows 11 OS,1
236,HP,15s-du3614TU Laptop,42200,65.0,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8GB,DDR4,1TB,Hard-Disk,Intel Integrated UHD,15.6,1920,1080,Windows 11 OS,1
237,HP,Pavilion 15s-eq2182AU Laptop,41990,60.0,5th Gen AMD Ryzen 5  5500U ,"Hexa Core, 12 Threads",16GB,DDR4,512GB,SSD,AMD Radeon Graphics,15.6,1920,1080,Windows 11 OS,1
238,Asus,TUF Gaming A15 2022 FA577RE-HN055WS Gaming Laptop,80900,79.0,6th Gen AMD Ryzen 7 6800H ,"Octa Core, 16 Threads",16GB,DDR5,512GB,SSD,4GB NVIDIA GeForce RTX 3050 Ti,15.6,1920,1080,Windows 11 OS,1
239,Asus,Vivobook 15 Touch X515EA-EZ311WS Laptop,38990,,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8GB,DDR4,512GB,SSD,Intel Integrated UHD Graphics,15.6,1920,1080,Windows 11 OS,1
240,Apple,MacBook Pro 2022 Laptop,119990,,Apple M2 Apple M2 Chip,Octa Core,8GB,,256GB,SSD,10 Core GPU,13.3,2560,1600,Mac OS,1
241,Apple,MacBook Air 2022 Laptop,135990,,Apple M2 Apple M2 Chip,Octa Core,8GB,Unified,512GB,SSD,10-Core GPU,13.6,2560,1664,Mac OS,1
242,Asus,Vivobook S15 OLED K3502ZA-L501WS Laptop,72490,64.0,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",16GB,DDR4,512GB,SSD,Intel Iris XE Graphics,15.6,1920,1080,Windows 11 OS,1
243,Asus,Vivobook S14 OLED S3402ZA-KM501WS Laptop,72490,62.0,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",16GB,DDR4,512GB,SSD,Intel Iris Xe Graphics,14,2880,1800,Windows 11 OS,1
245,Dell,Inspiron 3511 Laptop,35990,,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8GB,DDR4,512GB,SSD,Intel UHD Graphics,15.56,1920,1080,Windows 11 OS,1
246,Xiaomi,Mi Notebook Ultra Laptop,45989,64.0,11th Gen Intel Core i5 11300H ,"Quad Core, 8 Threads",8GB,DDR4,512GB,SSD,Intel Iris Xe Graphics,15.6,3200,2000,Windows 10  OS,1
247,Lenovo,Tab Yoga Duet 7,47999,,11th Gen Intel Core i5 1135G7 ,"Quad Core, 8 Threads",8GB,,512GB,SSD,Intel Iris Xe Graphics,13,1920,1080,Windows 10  OS,1
248,Dell,Inspiron 3501 Laptop,52500,,11th Gen Intel Core i5 1135G7 ,"Quad Core, 8 Threads",8GB,DDR4,1TB,Hard-Disk,Intel Iris Xe Graphics,15.6,1920,1080,Windows 10 OS,1
249,Dell,Latitude 3410 Laptop,59999,,10th Gen Intel Core i5 10210U ,"Quad Core, 8 Threads",8GB,DDR4,512GB,SSD,Intel HD,14,1366,768,Ubuntu OS,1
250,Apple,MacBook Air 2020 MGN73HN Laptop,112990,,Apple M1 Apple M1 Chip,Octa Core (4P + 4E),8GB,DDR4,512GB,SSD,Apple M1 Integrated Graphics,13.3,2560,1600,Mac OS,1
251,Acer,C733 NX.H8VSI.004 Chromebook,21333,,Intel Celeron  N4000,"Dual Core, 2 Threads",4GB,DDR4,,,Intel Integrated,11.6,1366,768,Chrome OS,1
252,Avita,Pura NS14A6 Laptop,21990,,3rd Gen AMD Ryzen 5  3500U,"Quad Core, 8 Threads",8GB,DDR4,512GB,SSD,AMD Radeon Vega 8,14,1920,1080,Windows 10 OS,1
253,Apple,MacBook Pro 16 Laptop,201498,81.0,9th Gen Intel Core i9,Octa Core,32GB,DDR4,2TB,SSD,4GB Radeon Pro 5500M,16,3072,1920,Mac Catalina OS,1
255,HP,Victus 15-fa1145TX Gaming Laptop,64990,72.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16GB,DDR4,1TB,SSD,4GB NVIDIA GeForce RTX 2050,15.6,1920,1080,Windows 11 OS,1
256,Apple,MacBook Pro 16 2023 Laptop,249900,,Apple M3 Pro,12 Cores (6P + 6E),18GB,,512GB,SSD,18 Core GPU,16.2,3456,2234,Mac OS,1
257,Apple,MacBook Pro 14 2023 Laptop,239900,,Apple M3 Pro,12 Cores (6P + 6E),18GB,,1TB,SSD,18 Core GPU,14.2,3024,1964,Mac OS,1
258,Lenovo,Thinkpad E14 G4 21E3S00P00 Laptop,68999,63.0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8GB,DDR4,512GB,SSD,Intel Iris Xe Graphics,14,1920,1080,DOS OS,0
259,Apple,MacBook Pro 14 2023 Laptop,189900,,Apple M3,Octa Core (4P + 4E),8GB,,1TB,SSD,10 Core GPU,14.2,3024,1964,Mac OS,1
260,Lenovo,Ideapad Gaming 3 15ARH7 82SB00QJIN Laptop,60990,66.0,7th Gen AMD Ryzen 5 7535HS,"Hexa Core, 12 Threads",8GB,DDR5,512GB,SSD,4GB NVIDIA GeForce RTX 2050,15.6,1920,1080,Windows 11 OS,1
261,Dell,Inspiron 3520 IN3520P9K46002ORS1 Laptop,40990,,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8GB,DDR4,512GB,SSD,Intel Integrated UHD,15.6,1920,1080,Windows 11 OS,1
262,Lenovo,LOQ 15APH8 82XT004KIN Gaming Laptop,107690,75.0,7th Gen AMD Ryzen 7 7840HS,"Octa Core, 16 Threads",16GB,DDR5,512GB,SSD,8GB NVIDIA GeForce RTX 4060,15.6,1920,1080,Windows 11 OS,1
263,Lenovo,V15 G4 Laptop,25490,,AMD Athlon Silver 7120U,"Dual Core, 2 Threads",8GB,LPDDR5,512GB,SSD,AMD Radeon 610M,15.6,1920,1080,Windows 11 OS,1
264,HP,15s-FR5012TU Laptop,38999,,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8GB,DDR4,512GB,SSD,Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,1
265,Infinix,INBook Y1 Plus 15 XL28 Laptop,59990,,10th Gen Intel Core i5 1035G1,"Quad Core, 8 Threads",8GB,LPDDR4X,512GB,SSD,Intel Integrated UHD,15.6,1920,1080,Windows 11 OS,1
266,HP,Victus 15-FA1098TX Laptop,60990,64.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",8GB,DDR4,512GB,SSD,4GB NVIDIA GeForce RTX 2050,15.6,1920,1080,Windows 11 OS,1
267,HP,Victus 15-fb1002AX Gaming Laptop,55500,70.0,7th Gen AMD Ryzen 5 7535HS,"Hexa Core, 12 Threads",8GB,DDR5,512GB,SSD,4GB NVIDIA GeForce RTX 2050,15.6,1920,1080,Windows 11 OS,1
268,HP,Pavilion Plus ‎16-ab0456TX Laptop,124999,76.0,13th Gen Intel Core i7 13700H,"14 Cores (6P + 8E), 20 Threads",16GB,DDR4,1TB,SSD,6GB NVIDIA GeForce RTX 3050,16,2560,1600,Windows 11 OS,1
269,HP,Omen 16-XD0007ax Gaming Laptop,104990,76.0,7th Gen AMD Ryzen 7 7840HS,"Octa Core, 16 Threads",16GB,DDR5,1TB,SSD,6GB NVIDIA GeForce RTX 4050,16.1,1920,1080,Windows 11 OS,1
270,MSI,Katana 15 B12VGK-1295IN Gaming Laptop,136990,72.0,12th Gen Intel Core i7 12650H,"10 Cores (6P + 4E), 16 Threads",16GB,DDR5,1TB,SSD,8GB NVIDIA GeForce RTX 4070,15.6,1920,1080,Windows 11 OS,2
271,Lenovo,Legion Slim 5 82Y9009JIN Gaming Laptop,131990,83.0,7th Gen AMD Ryzen 7 7840HS,"Octa Core, 16 Threads",16GB,DDR5,1TB,SSD,8GB NVIDIA GeForce RTX 4060,16,2560,1600,Windows 11 OS,1
272,Lenovo,IdeaPad Slim 3 14ITL6 82H701N3IN Laptop,36490,60.0,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8GB,DDR4,512GB,SSD,Intel UHD Graphics,14,1920,1080,Windows 11 OS,1
273,Asus,ROG Flow X13 GV302XV-MU016WS Gaming Laptop,188752,75.0,7th Gen AMD Ryzen 9  7940HS,"Octa Core, 16 Threads",16GB,LPDDR5,1TB,SSD,8GB NVIDIA GeForce RTX 4060,13.4,2560,1600,Windows 11 OS,1
274,HP,250 G9 7M657PA Laptop,36999,60.0,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8GB,DDR4,512GB,SSD,Intel Integrated,15.6,1366,768,Windows 11 OS,1
275,Lenovo,Yoga 7 82YL0095IN Laptop,92890,75.0,13th Gen Intel Core i5 1340P,"12 Cores (4P + 8E), 16 Threads",16GB,LPDDR5,1TB,SSD,Integrated Intel Iris Xe Graphics,14,2880,1800,Windows 11 OS,1
276,Dell,Inspiron 7430 2 in 1 2023 Laptop,57990,,13th Gen Intel Core i3 1315U,"Hexa Core (2P + 4E), 8 Threads",8GB,LPDDR5,256GB,SSD,Intel UHD Graphics,14,1920,1200,Windows 11 OS,1
278,Primebook,PBMTWIFI11064 Wi-Fi Laptop,10990,,MediaTek MT8183,Octa Core,4GB,LPDDR4,64GB,Hard-Disk,ARM Mali G72,11.6,1366,768,,1
279,HP,15s-fy5007TU Laptop,51999,62.0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8GB,DDR4,512GB,SSD,Intel Integrated UHD,15.6,1920,1080,Windows 11 OS,1
280,Lenovo,Yoga Slim 6 83E00006IN Laptop,79990,,13th Gen Intel Core i5 13500H,"12 Cores (4P + 8E), 16 Threads",16GB,LPDDR5,512GB,SSD,Intel Integrated Iris Xe,14,1920,1200,Windows 11 OS,1
282,Lenovo,IdeaPad Flex 5 14IRU8 82Y00051IN Laptop,76890,64.0,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16GB,LPDDR4X,512GB,SSD,Intel Integrated Iris Xe,14,1920,1200,Windows 11 OS,1
283,Lenovo,IdeaPad 1 15ALC7 82R400BSIN Laptop,37790,,5th Gen AMD Ryzen 5  5500U,"Hexa Core, 12 Threads",8GB,DDR4,512GB,SSD,AMD Radeon,15.6,1920,1080,Windows 11 OS,1
284,Acer,One 11 Z8-284 UN.013SI.033 Laptop,17990,,Intel Celeron N4500,"Dual Core, 2 Threads",8GB,DDR4,128GB,SSD,Intel Integrated UHD,11.6,1366,768,Windows 11 OS,1
286,HP,15s-fy5006TU Laptop,38990,,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8GB,DDR4,512GB,SSD,Intel Integrated UHD,15.6,1920,1080,Windows 11 OS,1
287,Lenovo,IdeaPad 3 15ITL6 82H803LJIN Laptop,41990,63.0,11th Gen Intel Core i5 1155G7,"Quad Core, 8 Threads",8GB,DDR4,512GB,SSD,Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,1
288,Lenovo,IdeaPad Slim 5 82XD005RIN Laptop,68990,,13th Gen Intel Core i5 13420H,"Octa Core (4P + 4E), 12 Threads",16GB,LPDDR5,512GB,SSD,Integrated Intel Iris Xe Graphics,14,1920,1200,Windows 11 OS,2
289,HP,Pavilion 14-dv2153TU Laptop,69990,67.0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",16GB,DDR4,1TB,SSD,Intel Integrated Iris Xe,14,1920,1080,Windows 11 OS,1
290,Acer,TravelMate P2 TMP214-53 Business Laptop,56990,65.0,11th Gen Intel Core i7 1165G7,"Quad Core, 8 Threads",16GB,DDR4,1TB,SSD,Intel Integrated Iris Xe,14,1920,1080,Windows 11 OS,1
291,Asus,ROG Strix G15 G513RC-HN251WS Gaming Laptop,89990,71.0,6th Gen AMD Ryzen 7  6800H,"Octa Core, 16 Threads",16GB,DDR5,1TB,SSD,4GB NVIDIA GeForce RTX RTX 3050,15.6,1920,1080,Windows 11 OS,1
292,MSI,Thin GF63 12UC-846IN Gaming Laptop,62990,71.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16GB,DDR4,512GB,SSD,4GB NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,2
293,Lenovo,IdeaPad Slim 3 82RK00VWIN Laptop,37990,,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8GB,DDR4,512GB,SSD,Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,1
294,Lenovo,IdeaPad Gaming 3 82SB00V4IN Laptop,58990,60.0,6th Gen AMD Ryzen 5 6600H,"Hexa Core, 12 Threads",8GB,DDR4,512GB,SSD,4GB NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,1
295,Lenovo,IdeaPad Slim 3 Laptop,32490,,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8GB,,256GB,SSD,Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,1
296,Lenovo,IdeaPad 1 15AMN7 82VG00EQIN Laptop,26990,,AMD Athlon 7120U,"Dual Core, 2 Threads",8GB,LPDDR5,512GB,SSD,AMD Radeon 610M Graphics,15.6,1366,768,Windows 11 OS,1
297,Asus,ROG Strix G16 2023 G614JJ-N3088WS Gaming Laptop,94990,70.0,13th Gen Intel Core i5 13450HX,"10 Cores (6P + 4E), 16 Threads",16GB,DDR5,1TB,SSD,6GB NVIDIA GeForce RTX 3050,16,1920,1200,Windows 11 OS,1
298,Asus,ROG Strix G17 G713RC-HX109WS Gaming Laptop,86189,71.0,6th Gen AMD Ryzen 7 6800H,"Octa Core, 16 Threads",16GB,DDR5,512GB,SSD,4GB NVIDIA GeForce RTX 3050,17.3,1920,1080,Windows 11 OS,1
299,Chuwi,FreeBook Laptop,37990,,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",12GB,LPDDR4,512GB,SSD,Intel Integrated Intel UHD Graphics,13.5,2256,1504,Windows 11 OS,1
300,Dell,Latitude 7440 14 Laptop,152000,,13th Gen Intel Core i5 1345U,"10 Cores (2P + 8E), 12 Threads",16GB,,512GB,SSD,Intel Iris Xe Graphics,14,1920,1200,Windows 11 OS,0
301,Dell,Latitude 7440 Laptop,152000,,13th Gen Intel Core i5 1345U,"10 Cores (2P + 8E), 12 Threads",16GB,,256GB,SSD,Intel Iris Xe Graphics,14,1920,1200,Windows 11 OS,0
302,Lenovo,Legion Slim 7 16IRH8 82Y3007QIN Gaming Laptop,194990,89.0,13th Gen Intel Core i9 13900H,"14 Cores (6P + 8E), 20 Threads",16GB,DDR5,1TB,SSD,8GB NVIDIA GeForce RTX 4060,16,3200,2000,Windows 11 OS,1
303,Lenovo,IdeaPad Gaming 3 15IHU6 82K101PBIN Laptop,51990,67.0,11th Gen Intel Core i5 11320H,"Quad Core, 8 Threads",8GB,DDR4,512GB,SSD,4GB NVIDIA GeForce RTX 2050,15.6,1920,1080,Windows 11 OS,1
304,Lenovo,IdeaPad Slim 3 82H803U0IN Laptop,31990,,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8GB,DDR4,256GB,SSD,Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,1
305,Acer,Aspire 5 A515-58M NX.KHFSI.003 Gaming Laptop,41990,,13th Gen Intel Core i3 1305U,"5 Cores (1P + 4E), 6 Threads",8GB,DDR5,512GB,SSD,Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,1
306,Asus,VivoBook 15 X1500EA-EJ311W Laptop,31990,,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8GB,DDR4,256GB,SSD,Intel Integrated UHD,15.6,1920,1080,Windows 11 OS,1
307,Asus,Vivobook 15 X1504ZA-NJ542WS Laptop,51390,60.0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",16GB,DDR4,512GB,SSD,Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,1
308,HP,Pavilion 15-eg3018TU Laptop,76900,,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16GB,DDR4-,1TB,SSD,Intel Integrated Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,1
309,HP,15s-fq3066TU Laptop,27890,,Intel Celeron N4500,"Dual Core, 2 Threads",8GB,DDR4,512GB,SSD,Intel Integrated UHD,15.6,1366,768,Windows 11 OS,1
310,Lenovo,IdeaPad 3 82H803HRIN Laptop,56990,60.0,11th Gen Intel Core i7 1165G7,"Quad Core, 8 Threads",16GB,DDR4,512GB,SSD,Integrated Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,1
311,Asus,Vivobook Pro 15 M6500QC-HN751WS Laptop,73990,64.0,5th Gen AMD Ryzen 7 5800HS,"Octa Core, 16 Threads",16GB,DDR4,1TB,SSD,4GB NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,1
312,HP,255 G9 841W6PA Laptop,24999,,3rd Gen AMD Ryzen 3  3250U,"Dual Core, 4 Threads",8GB,DDR4,512GB,SSD,AMD Radeon Graphics,15.6,1366,768,DOS 3.0 OS,1
314,HP,255 G8 7J035AA Laptop,33999,,5th Gen AMD Ryzen 5  5500U,"Hexa Core, 12 Threads",8GB,DDR4,256GB,SSD,AMD Radeon ,15.6,1920,1080,Windows 11  OS,1
315,Lenovo,IdeaPad Slim 5 16IAH8 83BG000PIN Laptop,61990,63.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16GB,LPDDR5,512GB,SSD,Intel UHD Graphics,16,1920,1200,Windows 11 OS,1
317,HP,Victus15-fb0147AX Gaming Laptop,47990,62.0,5th Gen AMD Ryzen 5  5600H,"Hexa Core, 12 Threads",8GB,DDR4,512GB,SSD,4GB AMD Radeon AMD Radeon RX 6500M,15.6,1920,1080,Windows 11 OS,1
318,Asus,TUF Gaming F15  FX506HF-HN075W Gaming Laptop,53990,66.0,11th Gen Intel Core i5 11260H,"Hexa Core, 12 Threads",8GB,DDR4,512GB,SSD,4GB NVIDIA GeForce RTX 2050,15.6,1920,1080,Windows 11 OS,1
319,HP,15S-EQ1550AU Laptop,31890,,3rd Gen AMD Ryzen 3  3250U,"Dual Core, 4 Threads",8GB,DDR4,512GB,SSD,AMD Radeon Graphics,15.6,1920,1080,Windows 11 OS,1
320,Asus,Vivobook Pro 15 M6500QF-HN541WS Creator Laptop,62390,63.0,5th Gen AMD Ryzen 5  5600H,"Hexa Core, 12 Threads",16GB,DDR4,512GB,SSD,4GB NVIDIA GeForce GTX 2050,15.6,1920,1080,Windows 11 OS,1
321,Wings,Nuvobook Pro Laptop,49990,,11th Gen Intel Core i7 1165G7,"Quad Core, 8 Threads",16GB,LPDDR4,512GB,SSD,Intel Graphics,14,1080,1920,Windows 11 OS,1
322,Wings,Nuvobook S1 Laptop,29990,,11th Gen Intel Core i3 1125G4,"Quad Core, 8 Threads",8GB,LPDDR4,256GB,SSD,Intel Graphics,15.6,1080,1920,Windows 11 OS,1
323,Infinix,INBook X3 Slim Series XL422 Laptop,49990,,12th Gen Intel Core i7 1255U,"10 Cores (2P + 8E), 12 Threads",16GB,LPDDR4X,512GB,SSD,Intel Integrated Iris Xe,14,1920,1080,Windows 11 OS,1
325,Dell,Vostro 3430 Laptop,43490,,13th Gen Intel Core i3 1305U,"5 Cores (1P + 4E), 6 Threads",8GB,DDR4,512GB,SSD,Intel UHD Graphics,14,1920,1080,Windows 11 OS,1
326,Dell,Inspiron 7430 2 in 1 Touch Laptop,95640,60.0,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16GB,LPDDR5,1TB,SSD,Intel Iris Xe Graphics,14,1920,1200,Windows 11 OS,1
327,HP,Omen 16-xf0060AX Gaming Laptop,125990,80.0,7th Gen AMD Ryzen 7 7840HS,"Octa Core, 16 Threads",16GB,DDR5,1TB,SSD,8GB NVIDIA GeForce RTX 4060,16,1920,1080,Windows 11 OS,1
328,HP,Pavilion 15-eg3017TU Laptop,72990,63.0,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16GB,DDR4,1TB,SSD,Intel Integrated Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,1
329,MSI,Thin GF63 11UCX-1497IN Gaming Laptop,47990,69.0,11th Gen Intel Core i5 11260H,"Hexa Core, 12 Threads",8GB,DDR4,512GB,SSD,4GB NVIDIA GeForce RTX 2050,15.6,1920,1080,Windows 11 OS,2
330,HP,Victus  15-fa1060TX  Gaming Laptop,99999,71.0,13th Gen Intel Core i5 13500H,"12 Cores (4P + 8E), 16 Threads",16GB,DDR4,512GB,SSD,6GB NVIDIA GeForce RTX 4050,15.6,1920,1080,Windows 11 OS,1
331,Asus,Vivobook 15 X1504ZA-NJ325WS Laptop,40990,,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8GB,DDR4,512GB,SSD,Integrated Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,1
332,Lenovo,IdeaPad Slim 5i 82XF003CIN Laptop,69990,62.0,13th Gen Intel Core i5 13500H,"12 Cores (4P + 8E), 16 Threads",16GB,,512GB,SSD,Integrated Intel Iris Xe Graphics,16,1920,1200,Windows 11 OS,1
333,Asus,Zenbook Flip 14 OLED UP5401ZA-KU741WS Laptop,94990,75.0,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",16GB,LPDDR5,512GB,SSD,Intel Integrated Iris Xe,14,3840,2400,Windows 11 OS,1
334,Asus,VivoBook 15 X1500EA-EJ326WS Laptop,37990,,11th Gen intel Core i3 1115G4,"Dual Core, 4 Threads",8GB,DDR4,512GB,SSD,Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,1
335,Lenovo,LOQ 15IRH8 82XV00F4IN 2023 Gaming Laptop,73990,69.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16GB,DDR5,512GB,SSD,4GB NVIDIA GeForce RTX 2050,15.6,1920,1080,Windows 11 OS,1
336,Lenovo,LOQ 15APH8 82XT009CIN 2023 Gaming Laptop,109990,75.0,7th Gen AMD Ryzen 7 7840HS,"Octa Core, 16 Threads",16GB,DDR5,512GB,SSD,8GB NVIDIA GeForce RTX 4060,15.6,1920,1080,Windows 11 OS,1
337,Acer,Nitro 5 AN515-58 NH.QFHSI.008 Gaming Laptop,65999,65.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",8GB,DDR4,512GB,SSD,4GB NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,1
338,Acer,Aspire Lite AL15-51 2023 Laptop,35990,,5th Gen AMD Ryzen 5 5500U,"Hexa Core, 12 Threads",8GB,DDR4,512GB,SSD,AMD Graphics,15.6,1920,1080,Windows 11 OS,1
339,Asus,Vivobook 15 X1504ZA-NJ321WS Laptop,37980,,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8GB,DDR4,512GB,SSD,Integrated Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,1
340,Lenovo,IdeaPad Slim 5i 82XF003DIN Laptop,85889,63.0,13th Gen Intel Core i7 13700H,"14 Cores (6P + 8E), 20 Threads",16GB,,512GB,SSD,Integrated Intel Iris Xe Graphics,16,1920,1200,Windows 11 OS,2
341,Lenovo,Legion Y9000X Laptop,150000,64.0,13th Gen Intel Core i9 13900H,"14 Cores (6P + 8E), 20 Threads",8GB,,1GB,SSD,NVIDIA,16,3200,2000,Windows OS,0
343,MSI,Modern 15 B11M-061IN Laptop,40789,63.0,11th Gen Intel Core i5 1155G7,"Quad Core, 8 Threads",16GB,DDR4,512GB,SSD,Intel Integrated Iris Xe,15.6,1920,1080,Windows 11 OS,1
344,Dell,Alienware M18 R1 2023 Gaming Laptop,450039,83.0,13th Gen Intel Core i9 13980HX,"24 Cores (8P + 16E), 32 Threads",64GB,LPDDR5,1TB,SSD,16GB NVIDIA GeForce RTX 4090,18,3200,1800,Windows 11 OS,1
345,Asus,Vivobook 14X K3405ZFB-KM752WS Laptop,89990,75.0,12th Gen Intel Core i7 12650H ,"10 Cores (6P + 4E), 16 Threads",16GB,DDR4,1TB,SSD,4GB NVIDIA GeForce RTX 2050,14,2880,1800,Windows 11 OS,1
